,learning_hours_per_week,quiz_score,coding_score,challenge_score,attempts,errors,time_spent_minutes,modules_completed,qubits_score,superposition_score,measurement_score,quantum_gates_score,entanglement_score,bell_states_score,quantum_circuits_score,grover_score,shor_score,overall_score
learning_hours_per_week,1.0,0.841,0.792,0.76,-0.615,-0.609,0.676,0.804,0.711,0.716,0.695,0.775,0.75,0.752,0.764,0.792,0.799,0.863
quiz_score,0.841,1.0,0.88,0.825,-0.644,-0.7,0.687,0.815,0.759,0.761,0.761,0.823,0.814,0.812,0.816,0.847,0.848,0.949
coding_score,0.792,0.88,1.0,0.849,-0.586,-0.622,0.744,0.853,0.704,0.71,0.702,0.776,0.747,0.763,0.759,0.796,0.791,0.918
challenge_score,0.76,0.825,0.849,1.0,-0.59,-0.591,0.67,0.787,0.705,0.701,0.708,0.761,0.751,0.751,0.747,0.796,0.793,0.891
attempts,-0.615,-0.644,-0.586,-0.59,1.0,0.673,-0.332,-0.624,-0.605,-0.607,-0.623,-0.633,-0.643,-0.635,-0.643,-0.664,-0.67,-0.696
errors,-0.609,-0.7,-0.622,-0.591,0.673,1.0,-0.447,-0.608,-0.563,-0.566,-0.582,-0.598,-0.592,-0.61,-0.62,-0.621,-0.637,-0.69
time_spent_minutes,0.676,0.687,0.744,0.67,-0.332,-0.447,1.0,0.892,0.604,0.603,0.571,0.642,0.63,0.641,0.647,0.667,0.67,0.74
modules_completed,0.804,0.815,0.853,0.787,-0.624,-0.608,0.892,1.0,0.737,0.727,0.718,0.774,0.762,0.781,0.783,0.808,0.813,0.883
qubits_score,0.711,0.759,0.704,0.705,-0.605,-0.563,0.604,0.737,1.0,0.703,0.694,0.733,0.731,0.747,0.739,0.765,0.769,0.83
superposition_score,0.716,0.761,0.71,0.701,-0.607,-0.566,0.603,0.727,0.703,1.0,0.699,0.739,0.733,0.746,0.743,0.772,0.777,0.834
measurement_score,0.695,0.761,0.702,0.708,-0.623,-0.582,0.571,0.718,0.694,0.699,1.0,0.755,0.741,0.752,0.735,0.785,0.784,0.836
quantum_gates_score,0.775,0.823,0.776,0.761,-0.633,-0.598,0.642,0.774,0.733,0.739,0.755,1.0,0.783,0.796,0.791,0.82,0.816,0.891
entanglement_score,0.75,0.814,0.747,0.751,-0.643,-0.592,0.63,0.762,0.731,0.733,0.741,0.783,1.0,0.789,0.785,0.821,0.82,0.881
bell_states_score,0.752,0.812,0.763,0.751,-0.635,-0.61,0.641,0.781,0.747,0.746,0.752,0.796,0.789,1.0,0.797,0.83,0.823,0.889
quantum_circuits_score,0.764,0.816,0.759,0.747,-0.643,-0.62,0.647,0.783,0.739,0.743,0.735,0.791,0.785,0.797,1.0,0.819,0.828,0.885
grover_score,0.792,0.847,0.796,0.796,-0.664,-0.621,0.667,0.808,0.765,0.772,0.785,0.82,0.821,0.83,0.819,1.0,0.859,0.921
shor_score,0.799,0.848,0.791,0.793,-0.67,-0.637,0.67,0.813,0.769,0.777,0.784,0.816,0.82,0.823,0.828,0.859,1.0,0.921
overall_score,0.863,0.949,0.918,0.891,-0.696,-0.69,0.74,0.883,0.83,0.834,0.836,0.891,0.881,0.889,0.885,0.921,0.921,1.0
