,count,mean,std,min,median,max
learning_hours_per_week,1000.0,12.58,5.57,1.0,12.5,30.0
quiz_score,1000.0,75.06,17.89,16.9,75.6,100.0
coding_score,1000.0,60.78,18.94,2.1,61.25,100.0
challenge_score,1000.0,31.74,19.25,0.0,31.0,86.9
attempts,1000.0,3.89,1.55,1.0,4.0,8.0
errors,1000.0,6.71,3.17,0.0,7.0,16.0
time_spent_minutes,1000.0,110.89,32.67,10.8,111.25,180.0
modules_completed,1000.0,5.34,2.46,0.0,5.0,9.0
qubits_score,1000.0,75.8,13.75,29.7,76.65,100.0
superposition_score,1000.0,75.82,13.82,30.6,75.9,100.0
measurement_score,1000.0,75.92,13.81,30.2,76.0,100.0
quantum_gates_score,1000.0,63.68,17.56,4.0,63.8,100.0
entanglement_score,1000.0,63.69,17.56,5.9,63.8,100.0
bell_states_score,1000.0,63.44,17.42,4.3,63.5,100.0
quantum_circuits_score,1000.0,63.73,17.4,4.5,63.25,100.0
grover_score,1000.0,50.54,20.9,0.0,49.95,100.0
shor_score,1000.0,49.93,21.05,0.0,50.0,100.0
overall_score,1000.0,63.11,15.88,14.9,62.8,96.7
