learner_id,skill_level,predicted_performance,performance_band,risk_probability,risk_status,strengths_count,weaknesses_count,developing_count,behavior_signals_count
LEARNER_0001,Intermediate,65.29,Moderate,0.0007,Low Risk,2,2,5,2
LEARNER_0002,Beginner,35.9,Low,1.0,High Risk,0,8,1,3
LEARNER_0003,Intermediate,59.5,Moderate,0.027,Low Risk,0,1,8,2
LEARNER_0004,Intermediate,70.77,Moderate,0.0001,Low Risk,4,0,5,3
LEARNER_0005,Intermediate,75.31,High,0.0,Low Risk,3,2,4,3
LEARNER_0006,Advanced,79.56,High,0.0,Low Risk,7,0,2,3
LEARNER_0007,Intermediate,75.09,High,0.0,Low Risk,5,2,2,3
LEARNER_0008,Intermediate,68.01,Moderate,0.0001,Low Risk,3,2,4,2
LEARNER_0009,Beginner,54.05,Moderate,0.3249,Moderate Risk,1,5,3,3
LEARNER_0010,Beginner,35.86,Low,1.0,High Risk,0,8,1,3
LEARNER_0011,Intermediate,67.24,Moderate,0.0003,Low Risk,3,2,4,2
LEARNER_0012,Intermediate,63.16,Moderate,0.0005,Low Risk,3,3,3,3
LEARNER_0013,Intermediate,67.35,Moderate,0.0001,Low Risk,4,3,2,3
LEARNER_0014,Beginner,40.18,Low,1.0,High Risk,0,8,1,3
LEARNER_0015,Beginner,47.2,Low,0.9984,High Risk,0,6,3,3
LEARNER_0016,Intermediate,75.53,High,0.0,Low Risk,7,1,1,4
LEARNER_0017,Intermediate,60.72,Moderate,0.0703,Low Risk,0,7,2,2
LEARNER_0018,Intermediate,69.4,Moderate,0.0,Low Risk,5,1,3,3
LEARNER_0019,Beginner,57.64,Moderate,0.0915,Low Risk,2,5,2,3
LEARNER_0020,Intermediate,59.9,Moderate,0.0441,Low Risk,2,4,3,3
LEARNER_0021,Advanced,79.68,High,0.0,Low Risk,8,0,1,2
LEARNER_0022,Beginner,51.36,Moderate,0.9827,High Risk,0,6,3,3
LEARNER_0023,Intermediate,59.9,Moderate,0.0082,Low Risk,3,3,3,1
LEARNER_0024,Beginner,50.76,Moderate,0.9896,High Risk,0,6,3,3
LEARNER_0025,Beginner,51.89,Moderate,0.9656,High Risk,2,5,2,4
LEARNER_0026,Beginner,49.45,Low,0.9813,High Risk,0,5,4,3
LEARNER_0027,Intermediate,62.34,Moderate,0.0028,Low Risk,1,3,5,3
LEARNER_0028,Beginner,49.97,Low,0.9949,High Risk,1,6,2,3
LEARNER_0029,Advanced,88.44,High,0.0,Low Risk,7,0,2,3
LEARNER_0030,Beginner,48.65,Low,0.9751,High Risk,0,6,3,3
LEARNER_0031,Intermediate,57.99,Moderate,0.1134,Low Risk,0,4,5,2
LEARNER_0032,Beginner,54.2,Moderate,0.5962,Moderate Risk,0,5,4,3
LEARNER_0033,Advanced,86.89,High,0.0,Low Risk,8,0,1,2
LEARNER_0034,Intermediate,65.2,Moderate,0.0002,Low Risk,3,3,3,2
LEARNER_0035,Intermediate,77.41,High,0.0,Low Risk,7,0,2,3
LEARNER_0036,Beginner,33.24,Low,1.0,High Risk,0,8,1,4
LEARNER_0037,Intermediate,66.01,Moderate,0.0004,Low Risk,4,3,2,1
LEARNER_0038,Intermediate,74.54,Moderate,0.0,Low Risk,5,1,3,2
LEARNER_0039,Intermediate,61.84,Moderate,0.007,Low Risk,2,3,4,2
LEARNER_0040,Intermediate,77.22,High,0.0,Low Risk,7,1,1,2
LEARNER_0041,Beginner,50.67,Moderate,0.9833,High Risk,0,5,4,2
LEARNER_0042,Advanced,84.61,High,0.0,Low Risk,7,1,1,4
LEARNER_0043,Advanced,89.47,High,0.0,Low Risk,9,0,0,2
LEARNER_0044,Beginner,55.27,Moderate,0.6224,High Risk,1,3,5,3
LEARNER_0045,Beginner,55.18,Moderate,0.5298,Moderate Risk,0,3,6,2
LEARNER_0046,Advanced,85.58,High,0.0,Low Risk,8,0,1,3
LEARNER_0047,Advanced,84.36,High,0.0,Low Risk,8,0,1,2
LEARNER_0048,Beginner,56.86,Moderate,0.3321,Moderate Risk,0,5,4,3
LEARNER_0049,Intermediate,61.83,Moderate,0.0126,Low Risk,0,4,5,2
LEARNER_0050,Beginner,54.58,Moderate,0.6567,High Risk,0,6,3,2
LEARNER_0051,Beginner,40.7,Low,1.0,High Risk,0,8,1,3
LEARNER_0052,Beginner,42.88,Low,0.9998,High Risk,0,8,1,3
LEARNER_0053,Beginner,49.13,Low,0.9843,High Risk,0,8,1,2
LEARNER_0054,Beginner,46.39,Low,0.9975,High Risk,0,6,3,3
LEARNER_0055,Beginner,56.5,Moderate,0.2915,Low Risk,2,5,2,2
LEARNER_0056,Intermediate,67.04,Moderate,0.0001,Low Risk,5,3,1,3
LEARNER_0057,Advanced,85.61,High,0.0,Low Risk,9,0,0,4
LEARNER_0058,Beginner,47.68,Low,0.9976,High Risk,0,6,3,2
LEARNER_0059,Advanced,79.98,High,0.0,Low Risk,7,0,2,3
LEARNER_0060,Beginner,54.8,Moderate,0.5177,Moderate Risk,0,3,6,2
LEARNER_0061,Beginner,57.13,Moderate,0.1559,Low Risk,1,3,5,2
LEARNER_0062,Intermediate,67.25,Moderate,0.0001,Low Risk,2,1,6,2
LEARNER_0063,Beginner,44.61,Low,0.9999,High Risk,0,8,1,3
LEARNER_0064,Intermediate,65.79,Moderate,0.0003,Low Risk,3,1,5,3
LEARNER_0065,Intermediate,72.09,Moderate,0.0,Low Risk,3,2,4,3
LEARNER_0066,Intermediate,70.94,Moderate,0.0,Low Risk,4,0,5,2
LEARNER_0067,Intermediate,70.34,Moderate,0.0,Low Risk,4,2,3,3
LEARNER_0068,Advanced,92.23,High,0.0,Low Risk,9,0,0,2
LEARNER_0069,Beginner,48.63,Low,0.9945,High Risk,0,5,4,3
LEARNER_0070,Beginner,50.8,Moderate,0.9316,High Risk,0,4,5,3
LEARNER_0071,Beginner,45.59,Low,0.9991,High Risk,0,4,5,3
LEARNER_0072,Beginner,58.31,Moderate,0.0819,Low Risk,0,5,4,3
LEARNER_0073,Beginner,54.21,Moderate,0.8702,High Risk,1,5,3,3
LEARNER_0074,Intermediate,77.9,High,0.0,Low Risk,6,0,3,3
LEARNER_0075,Advanced,85.7,High,0.0,Low Risk,9,0,0,2
LEARNER_0076,Beginner,52.89,Moderate,0.8245,High Risk,0,7,2,3
LEARNER_0077,Beginner,43.96,Low,0.9995,High Risk,0,7,2,4
LEARNER_0078,Intermediate,73.02,Moderate,0.0,Low Risk,3,0,6,2
LEARNER_0079,Beginner,53.58,Moderate,0.6312,High Risk,1,5,3,1
LEARNER_0080,Intermediate,72.61,Moderate,0.0,Low Risk,3,0,6,4
LEARNER_0081,Intermediate,67.02,Moderate,0.0003,Low Risk,6,2,1,3
LEARNER_0082,Beginner,35.69,Low,1.0,High Risk,0,8,1,3
LEARNER_0083,Advanced,84.77,High,0.0,Low Risk,8,0,1,3
LEARNER_0084,Advanced,82.88,High,0.0,Low Risk,8,0,1,2
LEARNER_0085,Beginner,51.56,Moderate,0.9497,High Risk,0,6,3,3
LEARNER_0086,Beginner,49.93,Low,0.9668,High Risk,1,5,3,3
LEARNER_0087,Intermediate,69.32,Moderate,0.0,Low Risk,3,1,5,3
LEARNER_0088,Intermediate,69.72,Moderate,0.0,Low Risk,2,2,5,3
LEARNER_0089,Intermediate,73.2,Moderate,0.0,Low Risk,6,1,2,3
LEARNER_0090,Advanced,90.67,High,0.0,Low Risk,9,0,0,3
LEARNER_0091,Intermediate,59.38,Moderate,0.3703,Moderate Risk,2,4,3,2
LEARNER_0092,Beginner,51.41,Moderate,0.9891,High Risk,0,7,2,2
LEARNER_0093,Beginner,34.3,Low,1.0,High Risk,0,7,2,4
LEARNER_0094,Beginner,49.42,Low,0.9735,High Risk,1,7,1,3
LEARNER_0095,Intermediate,59.13,Moderate,0.251,Low Risk,2,3,4,3
LEARNER_0096,Advanced,83.07,High,0.0,Low Risk,9,0,0,2
LEARNER_0097,Beginner,49.16,Low,0.9945,High Risk,1,5,3,3
LEARNER_0098,Intermediate,66.43,Moderate,0.0005,Low Risk,2,2,5,3
