feature,coefficient,absolute_coefficient
quiz_score,-2.1561,2.1561
coding_score,-2.0539,2.0539
entanglement_score,-1.2949,1.2949
shor_score,-1.2547,1.2547
grover_score,-1.1535,1.1535
quantum_gates_score,-1.009,1.009
errors,0.6751,0.6751
quantum_circuits_score,-0.6411,0.6411
challenge_score,-0.5755,0.5755
qubits_score,-0.5723,0.5723
modules_completed,0.5445,0.5445
bell_states_score,-0.4385,0.4385
measurement_score,-0.4364,0.4364
time_spent_minutes,-0.3755,0.3755
attempts,0.3646,0.3646
superposition_score,-0.3467,0.3467
learning_hours_per_week,-0.3435,0.3435
age_group_18-24,0.3004,0.3004
age_group_35+,-0.2759,0.2759
age_group_25-34,-0.0282,0.0282
