feature,coefficient,absolute_coefficient
coding_score,3.009,3.009
quiz_score,2.8197,2.8197
challenge_score,1.5306,1.5306
shor_score,1.3951,1.3951
grover_score,1.386,1.386
entanglement_score,1.1715,1.1715
quantum_gates_score,1.1554,1.1554
quantum_circuits_score,1.1545,1.1545
bell_states_score,1.1499,1.1499
qubits_score,0.9286,0.9286
superposition_score,0.9094,0.9094
measurement_score,0.9062,0.9062
modules_completed,-0.0038,0.0038
time_spent_minutes,0.0025,0.0025
learning_hours_per_week,0.0024,0.0024
age_group_18-24,0.0013,0.0013
age_group_35+,-0.0012,0.0012
errors,-0.0006,0.0006
attempts,-0.0004,0.0004
age_group_25-34,-0.0001,0.0001
