learner_id,recommendation_count,top_topic,top_action,top_type,top_priority
LEARNER_0001,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0002,5,Superposition,Review Superposition fundamentals,review_weak_topic,100.0
LEARNER_0003,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0004,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0005,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,100.0
LEARNER_0006,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,100.0
LEARNER_0007,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0008,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0009,5,Quantum Circuits,Review Quantum Circuits fundamentals,review_weak_topic,100.0
LEARNER_0010,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0011,5,Bell States,Reinforce prerequisite concept: Bell States,reinforce_prerequisite,100.0
LEARNER_0012,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0013,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0014,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0015,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0016,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,100.0
LEARNER_0017,5,Superposition,Reinforce prerequisite concept: Superposition,reinforce_prerequisite,100.0
LEARNER_0018,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0019,5,Qubits,Reinforce prerequisite concept: Qubits,reinforce_prerequisite,100.0
LEARNER_0020,5,Entanglement,Reinforce prerequisite concept: Entanglement,reinforce_prerequisite,100.0
LEARNER_0021,5,Quantum Circuits,Practice targeted exercises in Quantum Circuits,practice_developing_topic,78.7
LEARNER_0022,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0023,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0024,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0025,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0026,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0027,5,Quantum Gates,Reinforce prerequisite concept: Quantum Gates,reinforce_prerequisite,100.0
LEARNER_0028,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0029,5,Shor's Algorithm,Practice targeted exercises in Shor's Algorithm,practice_developing_topic,81.7
LEARNER_0030,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0031,5,Bell States,Review Bell States fundamentals,review_weak_topic,100.0
LEARNER_0032,5,Quantum Measurement,Review Quantum Measurement fundamentals,review_weak_topic,100.0
LEARNER_0033,5,Shor's Algorithm,Practice targeted exercises in Shor's Algorithm,practice_developing_topic,81.58
LEARNER_0034,5,Entanglement,Reinforce prerequisite concept: Entanglement,reinforce_prerequisite,100.0
LEARNER_0035,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,99.15
LEARNER_0036,5,Qubits,Review Qubits fundamentals,review_weak_topic,100.0
LEARNER_0037,5,Entanglement,Reinforce prerequisite concept: Entanglement,reinforce_prerequisite,100.0
LEARNER_0038,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0039,5,Quantum Circuits,Reinforce prerequisite concept: Quantum Circuits,reinforce_prerequisite,100.0
LEARNER_0040,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,96.35
LEARNER_0041,5,Entanglement,Review Entanglement fundamentals,review_weak_topic,100.0
LEARNER_0042,5,Grover's Algorithm,Reinforce prerequisite concept: Grover's Algorithm,reinforce_prerequisite,100.0
LEARNER_0043,5,Grover's Algorithm,Attempt an advanced quantum algorithm challenge in Grover's Algorithm,attempt_challenge,55.52
LEARNER_0044,5,Quantum Circuits,Review Quantum Circuits fundamentals,review_weak_topic,100.0
LEARNER_0045,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
LEARNER_0046,5,Quantum Circuits,Practice targeted exercises in Quantum Circuits,practice_developing_topic,76.8
LEARNER_0047,5,Grover's Algorithm,Practice targeted exercises in Grover's Algorithm,practice_developing_topic,82.5
LEARNER_0048,5,Quantum Gates,Review Quantum Gates fundamentals,review_weak_topic,100.0
